"T","Distance","Radius","FreeRadius","X","Y","Z"
0.846,79.392,5.487,5.486,82.299,154.529,155.761
0.847,79.645,5.542,5.542,82.049,154.492,155.759
0.849,79.902,5.587,5.587,81.798,154.438,155.762
0.850,80.162,5.619,5.619,81.548,154.366,155.768
0.851,80.426,5.640,5.640,81.301,154.273,155.777
0.853,80.693,5.654,5.654,81.058,154.162,155.790
0.854,80.961,5.663,5.663,80.822,154.037,155.806
0.856,81.227,5.670,5.670,80.594,153.901,155.825
0.857,81.491,5.680,5.680,80.374,153.758,155.846
0.858,81.747,5.695,5.695,80.164,153.611,155.868
0.860,81.995,5.717,5.717,79.966,153.465,155.892
0.861,82.230,5.747,5.747,79.781,153.321,155.917
0.863,82.450,5.782,5.782,79.610,153.186,155.942
0.864,82.651,5.820,5.820,79.455,153.061,155.968
0.865,82.830,5.858,5.858,79.317,152.950,155.993
0.867,82.983,5.896,5.896,79.197,152.858,156.018
0.868,83.109,5.929,5.929,79.097,152.786,156.042
0.870,83.210,5.957,5.957,79.014,152.733,156.065
0.871,83.289,5.979,5.979,78.947,152.696,156.088
0.872,83.350,5.996,5.996,78.895,152.674,156.109
0.874,83.396,6.008,6.008,78.854,152.664,156.130
0.875,83.432,6.016,6.016,78.825,152.663,156.150
0.877,83.461,6.022,6.022,78.804,152.669,156.169
0.878,83.486,6.024,6.024,78.790,152.680,156.187
0.879,83.510,6.026,6.026,78.782,152.693,156.205
0.881,83.532,6.026,6.026,78.777,152.706,156.222
0.882,83.552,6.024,6.024,78.773,152.717,156.238
0.884,83.570,6.022,6.022,78.770,152.723,156.254
0.885,83.586,6.018,6.018,78.764,152.722,156.270
0.886,83.604,6.014,6.014,78.757,152.715,156.285
0.888,83.627,6.008,6.008,78.747,152.701,156.300
0.889,83.656,6.002,6.002,78.733,152.680,156.315
0.891,83.693,5.994,5.994,78.715,152.653,156.330
0.892,83.737,5.986,5.986,78.692,152.618,156.346
0.893,83.790,5.976,5.976,78.664,152.577,156.362
0.895,83.851,5.966,5.966,78.630,152.528,156.379
0.896,83.922,5.955,5.955,78.589,152.473,156.397
0.898,84.003,5.942,5.942,78.542,152.410,156.417
0.899,84.094,5.929,5.929,78.486,152.341,156.438
0.900,84.197,5.916,5.916,78.423,152.264,156.460
0.902,84.309,5.902,5.902,78.351,152.181,156.484
0.903,84.431,5.888,5.888,78.272,152.092,156.510
0.905,84.561,5.876,5.876,78.186,151.998,156.537
0.906,84.697,5.866,5.866,78.096,151.900,156.566
0.907,84.837,5.858,5.858,78.002,151.800,156.595
0.909,84.981,5.854,5.854,77.906,151.697,156.626
0.910,85.127,5.853,5.853,77.808,151.594,156.658
0.912,85.273,5.856,5.856,77.710,151.492,156.691
0.913,85.417,5.863,5.863,77.613,151.390,156.725
0.914,85.559,5.872,5.872,77.518,151.291,156.760
0.916,85.696,5.883,5.883,77.426,151.195,156.795
0.917,85.828,5.896,5.896,77.339,151.103,156.830
0.919,85.953,5.910,5.910,77.256,151.017,156.867
0.920,86.073,5.924,5.924,77.178,150.934,156.905
0.921,86.188,5.939,5.939,77.103,150.855,156.944
0.923,86.300,5.954,5.954,77.032,150.780,156.987
0.924,86.410,5.968,5.968,76.965,150.707,157.033
0.926,86.518,5.983,5.983,76.899,150.637,157.083
0.927,86.626,5.997,5.997,76.836,150.570,157.137
0.928,86.734,6.010,6.010,76.774,150.503,157.197
0.930,86.845,6.023,6.023,76.713,150.438,157.263
0.931,86.959,6.036,6.036,76.653,150.374,157.336
0.933,87.078,6.048,6.048,76.592,150.310,157.416
0.934,87.203,6.062,6.062,76.532,150.246,157.504
0.935,87.332,6.077,6.077,76.471,150.182,157.599
0.937,87.466,6.095,6.095,76.410,150.119,157.700
0.938,87.602,6.116,6.116,76.350,150.056,157.804
0.940,87.737,6.141,6.141,76.292,149.995,157.910
0.941,87.871,6.171,6.171,76.235,149.937,158.016
0.942,88.001,6.203,6.203,76.181,149.880,158.120
0.944,88.126,6.237,6.237,76.129,149.828,158.221
0.945,88.243,6.271,6.271,76.081,149.778,158.315
0.947,88.350,6.303,6.303,76.037,149.733,158.402
0.948,88.446,6.333,6.333,75.998,149.693,158.480
0.950,88.529,6.359,6.359,75.963,149.658,158.546
0.951,88.596,6.380,6.380,75.934,149.629,158.600
0.952,88.649,6.395,6.395,75.911,149.605,158.641
0.954,88.689,6.406,6.406,75.893,149.586,158.671
0.955,88.718,6.413,6.413,75.879,149.571,158.692
0.957,88.739,6.417,6.417,75.869,149.559,158.706
0.958,88.753,6.417,6.417,75.863,149.550,158.714
0.959,88.762,6.414,6.414,75.860,149.541,158.717
0.961,88.770,6.410,6.410,75.860,149.533,158.719
0.962,88.779,6.403,6.403,75.863,149.525,158.720
0.964,88.789,6.396,6.396,75.867,149.516,158.723
0.965,88.802,6.389,6.389,75.872,149.506,158.728
0.966,88.821,6.382,6.382,75.879,149.492,158.739
0.968,88.845,6.376,6.376,75.886,149.475,158.755
0.969,88.876,6.372,6.372,75.892,149.454,158.778
0.971,88.913,6.370,6.370,75.897,149.431,158.805
0.972,88.955,6.372,6.372,75.899,149.404,158.837
0.973,89.001,6.375,6.375,75.897,149.375,158.873
0.975,89.050,6.380,6.380,75.890,149.343,158.910
0.976,89.104,6.388,6.388,75.876,149.310,158.949
0.978,89.161,6.397,6.397,75.855,149.274,158.989
0.979,89.223,6.408,6.408,75.826,149.237,159.029
0.980,89.289,6.419,6.419,75.786,149.199,159.067
0.982,89.363,6.432,6.432,75.736,149.160,159.102
0.983,89.444,6.446,6.446,75.673,149.120,159.135
0.985,89.534,6.460,6.460,75.597,149.080,159.163
0.986,89.634,6.476,6.476,75.509,149.039,159.188
0.987,89.744,6.492,6.492,75.410,148.998,159.209
0.989,89.862,6.508,6.508,75.300,148.957,159.227
0.990,89.988,6.526,6.526,75.182,148.916,159.242
0.992,90.122,6.544,6.544,75.055,148.874,159.254
0.993,90.262,6.562,6.562,74.922,148.832,159.265
0.994,90.408,6.580,6.580,74.783,148.790,159.273
0.996,90.558,6.599,6.599,74.639,148.748,159.281
0.997,90.710,6.618,6.618,74.493,148.706,159.287
0.999,90.866,6.637,6.637,74.343,148.663,159.292
1.000,91.022,6.657,6.657,74.193,148.621,159.297
